"TOA5","MAT06_GHBLK1_CR1000_8","CR1000","40166","CR1000.Std.28","CPU:GH_Soilmo_temp_ver-1-2018-06-10.CR1","49837","Table1"
"TIMESTAMP","RECORD","Air_3M_Avg","RH","GH_Air_Avg","GH_RH","CT1_10cm_Avg","CT2_10cm_Avg","CT3_10cm_Avg","GH1_10cm_Avg","GH2_10cm_Avg","GH3_10cm_Avg","CT1_10cm_VW","CT1_10cm_PA_uS","CT2_10cm_VW","CT2_10cm_PA_uS","CT3_10cm_VW","CT3_10cm_PA_uS","GH1_10cm_VW","GH1_10cm_PA_uS","GH2_10cm_VW","GH2_10cm_PA_uS","GH3_10cm_VW","GH3_10cm_PA_uS","BattV_Min"
"TS","RN","Deg C","%","Deg C","%","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","Volts"
"","","Avg","Smp","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min"
"2022-06-06 07:00:00",30633,-3.267,93,-2.894,90,0.04,-0.287,-0.122,-0.025,-0.161,-0.529,0.098,20.48,0.214,25,0.065,18.93,0.123,21.55,0.084,19.82,0.253,26.31,12.83
"2022-06-06 08:00:00",30634,-2.227,89,-1.694,84.9,0.162,-0.29,-0.118,-0.032,-0.16,-0.535,0.099,20.49,0.213,24.98,0.066,18.95,0.123,21.55,0.084,19.84,0.253,26.31,12.99
"2022-06-06 09:00:00",30635,-1.068,81.1,-0.363,76.37,0.38,-0.286,-0.116,-0.024,-0.164,-0.525,0.099,20.51,0.213,24.98,0.066,18.95,0.124,21.59,0.085,19.86,0.253,26.31,13.32
"2022-06-06 10:00:00",30636,0.565,78.16,1.331,75.35,0.695,-0.283,-0.11,-0.028,-0.159,-0.53,0.099,20.52,0.214,25,0.066,18.96,0.124,21.59,0.085,19.86,0.252,26.3,14.16
"2022-06-06 11:00:00",30637,1.881,71.22,2.274,68.78,1.061,-0.282,-0.115,-0.022,-0.161,-0.524,0.1,20.58,0.214,25,0.066,18.95,0.124,21.61,0.085,19.87,0.252,26.29,14.13
"2022-06-06 12:00:00",30638,3.471,68.07,3.693,67.48,1.436,-0.278,-0.111,-0.024,-0.153,-0.527,0.101,20.59,0.214,25,0.066,18.96,0.125,21.63,0.085,19.87,0.251,26.27,14.14
"2022-06-06 13:00:00",30639,4.584,64.83,4.992,65,1.768,-0.279,-0.113,-0.027,-0.154,-0.524,0.102,20.63,0.215,25.04,0.066,18.96,0.125,21.65,0.085,19.87,0.251,26.27,14.08
"2022-06-06 14:00:00",30640,5.073,65.15,5.646,63.5,2.039,-0.275,-0.107,-0.027,-0.154,-0.52,0.103,20.67,0.215,25.04,0.066,18.98,0.125,21.62,0.085,19.87,0.251,26.26,14.06
