"TOA5","MAT06_BLK1_CR1000_8","CR1000","40166","CR1000.Std.28","CPU:GH_Soilmo_temp_ver-1-2023-06-14.CR1","37555","MetData"
"TIMESTAMP","RECORD","Air_3M_Avg","RH","GH_Air_Avg","GH_RH","BattV_Min"
"TS","RN","Deg C","%","Deg C","%","Volts"
"","","Avg","Smp","Avg","Smp","Min"
"2023-06-16 19:00:00",0,11.66,53.86,14.09,46.92,13.95
"2023-06-16 20:00:00",1,11.98,51.42,16.38,41.1,13.9
"2023-06-16 21:00:00",2,12.21,58.33,17.84,45.82,13.91
"2023-06-16 22:00:00",3,9.79,72.29,14.02,53.98,13.94
"2023-06-16 23:00:00",4,8.48,80.8,12.12,65.98,13.06
"2023-06-17 00:00:00",5,7.041,88.3,8.94,77.53,12.88
"2023-06-17 01:00:00",6,5.746,91.9,5.325,87.6,12.85
"2023-06-17 02:00:00",7,4.714,95.9,4.77,86.1,12.84
"2023-06-17 03:00:00",8,4.408,94.1,5.08,73.27,12.85
"2023-06-17 04:00:00",9,4.126,88.4,7.089,71.26,12.9
"2023-06-17 05:00:00",10,5.84,80.3,9.62,62.95,14.03
"2023-06-17 06:00:00",11,8.61,70.44,12.95,54.11,14.06
"2023-06-17 07:00:00",12,11.27,60.13,17.08,43.99,13.98
"2023-06-17 08:00:00",13,11.46,58.4,20.64,41.54,13.91
"2023-06-17 09:00:00",14,12.71,52.74,21.82,36.57,13.89
"2023-06-17 10:00:00",15,13.71,50.44,24.09,33.83,13.85
"2023-06-17 11:00:00",16,14.57,46.47,25.4,33.21,13.82
"2023-06-17 12:00:00",17,15.34,40.59,24.16,31.09,13.79
"2023-06-17 13:00:00",18,15.18,48.11,23.63,42.09,13.79
"2023-06-17 14:00:00",19,10.18,67.19,10.73,67.22,12.84
"2023-06-17 15:00:00",20,10.5,56.81,11.39,55.99,12.81
"2023-06-17 16:00:00",21,10.8,64.13,11.51,60.23,12.8
"2023-06-17 17:00:00",22,12.62,57.59,14.1,55.95,12.79
"2023-06-17 18:00:00",23,11.08,68.02,11.49,68.7,12.79
"2023-06-17 19:00:00",24,11.6,66.1,12.39,65.21,12.78
"2023-06-17 20:00:00",25,11.53,66.37,12.15,65.75,12.78
"2023-06-17 21:00:00",26,10.09,69.64,10.29,69.95,12.78
"2023-06-17 22:00:00",27,9.55,73.44,9.65,74.23,12.77
"2023-06-17 23:00:00",28,9.02,71.31,8.95,69.49,12.77
"2023-06-18 00:00:00",29,8.66,72.37,9.38,71.69,12.76
"2023-06-18 01:00:00",30,7.135,78.35,7.426,79.04,12.76
"2023-06-18 02:00:00",31,5.082,83.2,5.107,84.6,12.76
"2023-06-18 03:00:00",32,4.525,78.57,3.58,85.5,12.75
"2023-06-18 04:00:00",33,4.933,79.36,4.717,74.83,12.75
"2023-06-18 05:00:00",34,7.984,70.39,10.01,65.94,12.75
"2023-06-18 06:00:00",35,10.32,66.84,12.36,59.34,12.75
"2023-06-18 07:00:00",36,11.89,59.44,14.13,51.44,12.75
"2023-06-18 08:00:00",37,13.25,52.31,16.89,42.39,12.76
"2023-06-18 09:00:00",38,13.51,46.96,17.01,43.34,12.77
"2023-06-18 10:00:00",39,14.85,46.27,18.63,39.6,12.78
"2023-06-18 11:00:00",40,15.89,42.09,21.04,34.03,12.78
"2023-06-18 12:00:00",41,16.28,36.08,21.3,27.98,12.79
"2023-06-18 13:00:00",42,15.94,34.38,18.25,31.37,12.8
"2023-06-18 14:00:00",43,16.53,34.3,18.21,32.6,12.79
"2023-06-18 15:00:00",44,15.43,41.22,15.84,40.6,12.8
"2023-06-18 16:00:00",45,12.96,61.82,13.7,58.95,13.26
"2023-06-18 17:00:00",46,10.38,64.45,11.79,58.16,13.69
"2023-06-18 18:00:00",47,9.97,67.88,12.4,59.84,14.41
"2023-06-18 19:00:00",48,7.611,84.1,9.66,77.69,14.41
"2023-06-18 20:00:00",49,6.982,82.9,9.73,71.07,14.1
"2023-06-18 21:00:00",50,6.517,85.7,8.3,78.2,14.1
"2023-06-18 22:00:00",51,6.636,84.7,7.498,82.9,13.07
"2023-06-18 23:00:00",52,6.246,89.4,6.594,88.3,12.92
"2023-06-19 00:00:00",53,5.795,95.6,5.845,92.3,12.87
"2023-06-19 01:00:00",54,4.797,98,5.033,94.8,12.85
"2023-06-19 02:00:00",55,3.948,98.2,4.333,95,12.83
"2023-06-19 03:00:00",56,3.854,98.2,4.047,95.5,12.82
"2023-06-19 04:00:00",57,4.339,98.2,4.515,94.9,12.82
"2023-06-19 05:00:00",58,4.289,98.2,5.039,91.9,12.85
"2023-06-19 06:00:00",59,4.666,98.1,5.826,88.5,12.92
"2023-06-19 07:00:00",60,5.313,96.6,6.496,84.3,13.09
"2023-06-19 08:00:00",61,6.618,86.1,10.03,71.76,14.5
"2023-06-19 09:00:00",62,7.429,81.5,9.33,69.99,14.09
"2023-06-19 10:00:00",63,5.374,77.75,10.22,59.55,12.79
"2023-06-19 11:00:00",64,8.81,73.51,16.12,14.61,13.02
"2023-06-19 12:00:00",65,10.13,63.89,5.666,10.53,13.19
"2023-06-19 13:00:00",66,8.39,87.7,23.34,17.62,13.06
"2023-06-19 14:00:00",67,7.455,79.53,39.89,10.54,13.05
