"TOA5","LMAT_GHBLK1_CR1000_8","CR1000","40166","CR1000.Std.28","CPU:GH_Soilmo_temp_ver-1-2018-06-10.CR1","49837","Table1"
"TIMESTAMP","RECORD","Air_3M_Avg","RH","GH_Air_Avg","GH_RH","CT1_10cm_Avg","CT2_10cm_Avg","CT3_10cm_Avg","GH1_10cm_Avg","GH2_10cm_Avg","GH3_10cm_Avg","CT1_10cm_VW","CT1_10cm_PA_uS","CT2_10cm_VW","CT2_10cm_PA_uS","CT3_10cm_VW","CT3_10cm_PA_uS","GH1_10cm_VW","GH1_10cm_PA_uS","GH2_10cm_VW","GH2_10cm_PA_uS","GH3_10cm_VW","GH3_10cm_PA_uS","BattV_Min"
"TS","RN","Deg C","%","Deg C","%","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","Volts"
"","","Avg","Smp","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min"
"2019-09-05 21:00:00",9492,5.94,70.02,5.686,70.88,2.557,3.604,4.448,3.17,3.89,2.589,0.192,24.24,0.439,31.75,0.466,32.44,0.301,27.83,0.324,28.55,0.312,28.18,12.75
"2019-09-05 22:00:00",9493,6.148,67.21,5.924,67.9,2.437,3.327,4.037,3.085,3.772,2.514,0.192,24.24,0.439,31.75,0.466,32.44,0.301,27.83,0.324,28.55,0.312,28.17,12.74
"2019-09-05 23:00:00",9494,5.739,67.15,5.509,68.38,2.326,3.112,3.696,2.997,3.646,2.433,0.192,24.24,0.439,31.75,0.466,32.44,0.301,27.83,0.324,28.54,0.312,28.18,12.73
"2019-09-06 00:00:00",9495,4.983,67.44,4.675,69.22,2.21,2.883,3.314,2.899,3.496,2.353,0.192,24.24,0.439,31.75,0.466,32.44,0.3,27.82,0.324,28.54,0.312,28.17,12.72
"2019-09-06 01:00:00",9496,4.478,67.07,4.172,68.47,2.097,2.662,2.938,2.802,3.333,2.271,0.192,24.24,0.439,31.74,0.466,32.44,0.3,27.82,0.324,28.54,0.312,28.17,12.71
"2019-09-06 02:00:00",9497,4.715,67.51,4.399,68.75,1.998,2.469,2.655,2.717,3.175,2.193,0.192,24.24,0.439,31.75,0.467,32.46,0.3,27.82,0.324,28.54,0.312,28.18,12.7
"2019-09-06 03:00:00",9498,5.73,62.3,5.441,62.92,1.919,2.355,2.488,2.643,3.026,2.116,0.193,24.25,0.439,31.75,0.467,32.46,0.301,27.83,0.324,28.54,0.312,28.18,12.69
"2019-09-06 04:00:00",9499,7.312,62.13,7.096,62.88,1.909,2.452,2.586,2.605,2.935,2.056,0.193,24.25,0.439,31.75,0.467,32.46,0.301,27.85,0.324,28.54,0.312,28.18,12.69
