TIMESTAMP	RECORD	BattV_Avg	AirTControl_Avg	RHCT	Air_GH_Avg	RH_GH	T107_C_CT1_Avg	T107_C_CT2_Avg	T107_C_CT3_Avg	T107_C_GH1_Avg	T107_C_GH2_Avg	T107_C_GH3_Avg	VW_CT_Avg	PA_uS_CT_Avg	VW_GH_Avg	PA_uS_GH_Avg	CT1_SUR_AVG_Avg	CT1_10cm_AVG_Avg	CT1_20cm_AVG_Avg	CT2_SUR_AVG_Avg	CT2_10cm_AVG_Avg	CT2_20cm_AVG_Avg	CT3_SUR_AVG_Avg	CT3_10cm_AVG_Avg	CT3_20cm_AVG_Avg	NP1_SUR_AVG_Avg	NP1_10cm_AVG_Avg	NP1_20cm_AVG_Avg	NP2_SUR_AVG_Avg	NP2_10cm_AVG_Avg	NP2_20cm_AVG_Avg	NP3_SUR_cm_AVG_Avg	NP3_10_AVG_Avg	NP3_20cm_AVG_Avg	RTempC_Avg
2018-08-14 12:00	0	12.55	-0.737	91.7	8.59	73.29	0.696	0.515	1.288	2.997	2.634	3.245	0.144	0.94	0.245	1.082	1.765	0.963	0.765	3.864	0.946	0.825	4.456	1.171	1.119	0.316	0.281	0.273	0.333	0.264	0.152	0.774	0.54	0.359	-0.116
2018-08-14 12:30	1	12.53	-0.598	92.3	8.6	72.48	0.687	0.515	1.413	3.159	2.71	3.398	0.144	0.94	0.245	1.082	1.898	0.948	0.762	4.045	0.944	0.822	4.768	1.216	1.159	0.448	0.271	0.275	0.345	0.263	0.148	0.829	0.558	0.362	0.063
2018-08-14 13:00	2	12.59	-0.198	89.9	10.01	72.78	0.673	0.543	1.758	3.518	2.904	3.702	0.144	0.94	0.245	1.082	2.196	0.943	0.759	4.535	0.941	0.815	5.624	1.326	1.253	0.823	0.261	0.278	0.397	0.26	0.144	0.999	0.619	0.366	0.412
2018-08-14 13:30	3	12.7	0.491	88	13.81	57.88	0.669	0.584	2.156	4.024	3.206	4.215	0.144	0.94	0.244	1.08	2.588	0.92	0.735	5.504	0.92	0.792	6.954	1.445	1.362	1.412	0.248	0.272	0.481	0.252	0.138	1.276	0.717	0.375	0.956
2018-08-14 14:00	4	12.81	0.96	85.3	15.29	59.5	0.662	0.599	2.465	4.58	3.463	4.77	0.144	0.94	0.244	1.08	3.004	0.929	0.736	6.309	0.919	0.789	7.548	1.59	1.493	2.018	0.268	0.3	0.698	0.266	0.14	1.569	0.846	0.387	1.651
2018-08-14 14:30	5	12.93	1.258	85.6	18.44	44.6	0.668	0.657	2.898	5.233	3.757	5.32	0.143	0.939	0.242	1.078	3.398	0.936	0.72	7.18	0.915	0.77	8.09	1.767	1.659	2.478	0.286	0.325	0.967	0.279	0.135	1.835	0.984	0.399	2.427
2018-08-14 15:00	6	12.97	1.25	85	17.45	45.64	0.682	0.723	3.173	5.842	3.975	5.78	0.143	0.939	0.242	1.078	3.777	0.971	0.723	7.533	0.926	0.771	8.11	1.982	1.862	2.894	0.356	0.377	1.191	0.304	0.136	2.043	1.112	0.411	3.128
2018-08-14 15:30	7	12.99	1.636	76.85	17.18	48.34	0.703	0.78	3.498	6.364	4.111	6.05	0.143	0.938	0.242	1.078	4.125	1.013	0.72	7.518	0.939	0.767	7.804	2.209	2.064	3.153	0.427	0.424	1.351	0.33	0.139	2.189	1.229	0.425	3.591
2018-08-14 16:00	8	12.99	1.92	79.99	20.8	38.1	0.735	0.938	4.041	6.92	4.369	6.429	0.143	0.938	0.242	1.078	4.442	1.042	0.693	7.734	0.935	0.743	8.05	2.411	2.241	3.39	0.459	0.437	1.51	0.35	0.128	2.432	1.339	0.444	4.184
2018-08-14 16:30	9	12.96	2.127	80.6	18.37	45.26	0.765	1.07	4.191	7.381	4.456	6.691	0.142	0.937	0.242	1.078	4.719	1.112	0.698	7.433	0.964	0.751	7.267	2.639	2.45	3.546	0.563	0.486	1.588	0.386	0.134	2.644	1.445	0.462	4.783
2018-08-14 17:00	10	12.94	1.937	77.82	17.29	52.15	0.804	1.269	4.41	7.733	4.535	6.837	0.142	0.937	0.242	1.078	4.852	1.181	0.701	7.187	0.99	0.756	7.178	2.854	2.651	3.562	0.65	0.522	1.698	0.422	0.132	2.704	1.537	0.481	5.192
