TIMESTAMP	RECORD	BattV_Avg	AirTControl_Avg	RHCT	T107_C_CT1_Avg	T107_C_CT2_Avg	T107_C_CT3_Avg	T107_C_GH1_Avg	T107_C_GH2_Avg	T107_C_GH3_Avg	VW_CT_Avg	PA_uS_CT_Avg	VW_GH_Avg	PA_uS_GH_Avg	Temp_C_Avg(1)	Temp_C_Avg(2)	Temp_C_Avg(3)	Temp_C_Avg(4)	Temp_C_Avg(5)	Temp_C_Avg(6)	Temp_C_Avg(7)	Temp_C_Avg(8)	Temp_C_Avg(9)	Temp_C_Avg(10)	Temp_C_Avg(11)	Temp_C_Avg(12)	Temp_C_Avg(13)	Temp_C_Avg(14)	Temp_C_Avg(15)	Temp_C_Avg(16)	Temp_C_Avg(17)	Temp_C_Avg(18)	RTempC_Avg
2018-08-10 14:30	0	12.56	2.806	89.5	1.287	2.356	3.442	4.401	2.833	NAN	0	0	0	0	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
2018-08-10 15:00	1	12.55	2.93	90	1.301	2.4	3.486	4.501	2.88	NAN	0.005	0.032	0.009	0.037	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
2018-08-10 15:30	2	12.55	3.005	89.4	1.321	2.459	3.583	4.67	2.951	NAN	0.152	0.952	0.256	1.096	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
2018-08-10 16:00	3	12.54	2.841	88.7	1.342	2.481	3.594	4.802	2.975	NAN	0.152	0.952	0.256	1.096	4.104	1.625	0.802	5.553	1.303	0.995	6.434	2.576	2.386	3.978	1.268	0.851	2.741	0.892	0.296	2.518	1.721	0.682	5.183
2018-08-10 16:30	4	12.52	2.678	91	1.356	2.476	3.546	4.865	2.94	NAN	0.152	0.952	0.256	1.096	4.119	1.649	0.789	5.421	1.312	0.999	6.061	2.65	2.456	3.962	1.333	0.864	2.723	0.904	0.298	2.52	1.752	0.701	4.889
2018-08-10 17:00	5	12.49	2.584	90.5	1.37	2.449	3.453	4.842	1.76	0.337	0.008	0.053	0.014	0.061	4.003	1.67	0.767	5.087	1.311	0.987	5.462	2.704	2.504	3.779	1.372	0.854	2.655	0.898	0.286	2.454	1.758	0.699	4.429
2018-08-10 17:30	6	12.49	2.575	90.4	1.378	2.432	3.401	4.791	2.786	4.424	0.152	0.952	0.257	1.097	3.917	1.69	0.763	4.894	1.319	0.988	5.189	2.734	2.526	3.658	1.397	0.851	2.608	0.901	0.284	2.407	1.759	0.707	4.145
2018-08-10 18:00	7	12.49	2.616	89.3	1.379	2.412	3.346	4.718	2.712	4.306	0.152	0.952	0.257	1.097	3.817	1.717	0.759	4.704	1.329	0.99	4.939	2.752	2.542	3.524	1.419	0.842	2.551	0.904	0.285	2.36	1.759	0.713	3.835
2018-08-10 18:30	8	12.49	2.558	88.6	1.386	2.387	3.295	4.638	2.647	4.207	0.152	0.952	0.257	1.097	3.717	1.736	0.753	4.544	1.338	0.989	4.705	2.758	2.545	3.401	1.433	0.828	2.487	0.9	0.283	2.321	1.75	0.717	3.589
2018-08-10 19:00	9	12.49	2.435	91.5	1.393	2.366	3.224	4.561	2.594	4.114	0.152	0.952	0.257	1.097	3.632	1.756	0.752	4.411	1.347	0.992	4.56	2.746	2.541	3.294	1.439	0.822	2.443	0.901	0.283	2.293	1.741	0.72	3.375
2018-08-10 19:30	10	12.48	2.374	92.4	1.398	2.349	3.174	4.485	2.546	4.041	0.152	0.952	0.257	1.097	3.566	1.772	0.748	4.307	1.352	0.996	4.46	2.734	2.528	3.221	1.437	0.81	2.398	0.896	0.283	2.264	1.73	0.723	3.205
2018-08-10 20:00	11	12.47	1.987	95.4	1.399	2.306	3.041	4.391	2.474	3.962	0.152	0.952	0.257	1.097	3.464	1.785	0.751	4.113	1.359	0.998	4.143	2.719	2.514	3.126	1.437	0.812	2.333	0.898	0.287	2.219	1.716	0.722	3.057
2018-08-10 20:30	12	12.47	1.662	93.3	1.403	2.251	2.902	4.276	2.396	3.858	0.153	0.953	0.258	1.098	3.334	1.794	0.754	3.875	1.365	1.003	3.782	2.696	2.493	2.979	1.431	0.814	2.257	0.896	0.296	2.138	1.696	0.724	2.846
2018-08-10 21:00	13	12.46	1.537	94.1	1.401	2.201	2.77	4.147	2.32	3.742	0.153	0.953	0.258	1.098	3.205	1.799	0.753	3.662	1.37	1.007	3.491	2.666	2.466	2.824	1.42	0.804	2.175	0.89	0.297	2.048	1.668	0.725	2.604
2018-08-10 21:30	14	12.46	1.209	95.2	1.397	2.139	2.601	4.004	2.227	3.606	0.153	0.954	0.259	1.1	3.05	1.793	0.755	3.408	1.371	1.01	3.089	2.627	2.43	2.637	1.407	0.795	2.078	0.88	0.299	1.962	1.629	0.721	2.355
2018-08-10 22:00	15	12.46	0.769	94.8	1.389	2.08	2.418	3.846	2.13	3.46	0.153	0.954	0.259	1.1	2.872	1.791	0.758	3.128	1.37	1.013	2.689	2.58	2.386	2.435	1.389	0.785	1.969	0.866	0.3	1.862	1.581	0.716	2.076
2018-08-10 22:30	16	12.45	0.489	94.6	1.385	2.015	2.229	3.677	2.035	3.308	0.154	0.956	0.26	1.102	2.654	1.792	0.767	2.792	1.369	1.016	2.106	2.52	2.337	2.151	1.367	0.779	1.841	0.856	0.306	1.738	1.533	0.712	1.703
2018-08-10 23:00	17	12.45	0.425	94.3	1.37	1.952	2.074	3.495	1.93	3.151	0.154	0.956	0.26	1.102	2.413	1.78	0.758	2.47	1.365	1.013	1.685	2.448	2.267	1.87	1.336	0.75	1.71	0.829	0.307	1.601	1.474	0.696	1.27
