TIMESTAMP	RECORD	BattV_Avg	AirTControl_Avg	RHCT	Air_GH_Avg	RH_GH	WS_ms_S_WVT	WindDir_D1_WVT	WindDir_SD1_WVT
2021-07-13 18:00	0	13.12	8.67	98.9	10.59	91.9	1.525	308	13.81
2021-07-13 18:30	1	13.1	8.67	98.9	10.31	93.5	1.513	303.1	11.1
2021-07-13 19:00	2	13.08	8.73	98.6	10.23	94.7	1.357	287.3	13.64
2021-07-13 19:30	3	13.06	8.68	97.9	10.35	93.8	1.263	284.6	17.34
2021-07-13 20:00	4	13.04	8.54	98.3	10.18	93.9	1.306	310	14.4
2021-07-13 20:30	5	13.02	8.66	97.6	10.02	95.4	0.963	308.2	13.39
2021-07-13 21:00	6	13	8.57	98.8	9.89	95.3	1.328	304.3	17.83
2021-07-13 21:30	7	12.97	8.49	99.1	9.64	96.1	1.066	290.2	16.47
2021-07-13 22:00	8	12.95	8.43	99.2	9.38	97	1.311	284.5	17.96
2021-07-13 22:30	9	12.92	8.42	99.3	9.19	98.4	2.034	266.7	13.28
2021-07-13 23:00	10	12.9	8.46	99.5	9.06	99.5	2.445	268.6	10.12
2021-07-13 23:30	11	12.88	8.28	99.5	8.91	99.9	2.332	287.6	15.02
2021-07-14 0:00	12	12.86	7.656	99.6	8.6	99.3	2.179	324.8	29.11
2021-07-14 0:30	13	12.85	7.129	99.6	8.12	98.2	1.511	355.1	24.41
2021-07-14 1:00	14	12.83	7.042	99.6	7.744	98.4	0.435	322.9	6.727
2021-07-14 1:30	15	12.82	6.947	99.7	7.54	98.8	0.538	282.6	12.06
2021-07-14 2:00	16	12.82	6.982	99.6	7.64	99.3	1.238	319.3	42.98
2021-07-14 2:30	17	12.82	6.672	99.8	7.778	99.2	1.5	317.8	19.12
2021-07-14 3:00	18	12.82	6.553	99.8	7.586	98.6	2.259	305	15.57
2021-07-14 3:30	19	12.82	6.373	99.9	7.349	98.8	2.229	305.6	13.79
2021-07-14 4:00	20	12.82	5.957	99.9	7.24	98.4	2.623	346.8	15.14
2021-07-14 4:30	21	12.83	5.38	100	7.123	96	2.973	4.903	19.37
2021-07-14 5:00	22	12.84	4.988	100	6.904	95.4	2.56	356.1	11.5
2021-07-14 5:30	23	12.87	4.774	99.5	7.267	92	2.095	11.42	15.95
