TIMESTAMP	RECORD	BattV_Avg	AirTControl_Avg	RHCT	Air_GH_Avg	RH_GH	T107_C_CT1_Avg	T107_C_CT2_Avg	T107_C_CT3_Avg	T107_C_GH1_Avg	T107_C_GH2_Avg	T107_C_GH3_Avg	VW_CT_Avg	PA_uS_CT_Avg	VW_GH_Avg	PA_uS_GH_Avg	CT1_SUR_AVG_Avg	CT1_10cm_AVG_Avg	CT1_20cm_AVG_Avg	CT2_SUR_AVG_Avg	CT2_10cm_AVG_Avg	CT2_20cm_AVG_Avg	CT3_SUR_AVG_Avg	CT3_10cm_AVG_Avg	CT3_20cm_AVG_Avg	NP1_SUR_AVG_Avg	NP1_10cm_AVG_Avg	NP1_20cm_AVG_Avg	NP2_SUR_AVG_Avg	NP2_10cm_AVG_Avg	NP2_20cm_AVG_Avg	NP3_SUR_cm_AVG_Avg	NP3_10_AVG_Avg	NP3_20cm_AVG_Avg	RTempC_Avg
2019-01-01 0:00	6696	11.93	-5.391	55.22	-5.208	61.58	-3.917	-4.536	-3.645	-3.885	-2.995	-5.531	0.031	0.752	0.053	0.792	-3.46	-3.3	-1.954	-4.542	-3.026	-2.491	-5.081	-3.398	-3.239	-3.764	-3.292	-2.889	-4.529	-3.878	-3.385	-5.082	-4.848	-4.189	-6.277
2019-01-01 0:30	6697	11.95	-5.362	53.97	-5.16	62.09	-3.903	-4.515	-3.63	-3.865	-2.982	-5.562	0.031	0.752	0.053	0.792	-3.449	-3.292	-1.953	-4.522	-3.018	-2.487	-5.057	-3.387	-3.232	-3.747	-3.287	-2.895	-4.519	-3.872	-3.385	-5.068	-4.832	-4.181	-6.43
2019-01-01 1:00	6698	11.93	-4.956	55.32	-4.851	61.58	-3.896	-4.498	-3.617	-3.844	-2.97	-5.478	0.031	0.752	0.053	0.792	-3.44	-3.283	-1.954	-4.503	-3.009	-2.481	-5.031	-3.378	-3.223	-3.733	-3.281	-2.9	-4.511	-3.87	-3.386	-5.065	-4.822	-4.174	-6.508
2019-01-01 1:30	6699	11.95	-5.018	58.23	-4.869	65.33	-3.885	-4.477	-3.611	-3.828	-2.96	-5.442	0.031	0.752	0.053	0.792	-3.424	-3.272	-1.95	-4.482	-2.997	-2.474	-5.005	-3.365	-3.213	-3.714	-3.272	-2.896	-4.495	-3.856	-3.377	-5.054	-4.806	-4.164	-6.545
2019-01-01 2:00	6700	11.93	-5.378	58.4	-5.169	66.21	-3.876	-4.461	-3.602	-3.811	-2.953	-5.417	0.03	0.752	0.053	0.792	-3.412	-3.262	-1.953	-4.46	-2.992	-2.47	-4.981	-3.361	-3.207	-3.703	-3.268	-2.891	-4.477	-3.847	-3.372	-5.042	-4.793	-4.154	-6.555
2019-01-01 2:30	6701	11.95	-5.384	60.26	-5.205	68.07	-3.865	-4.448	-3.592	-3.797	-2.942	-5.429	0.03	0.752	0.053	0.792	-3.396	-3.253	-1.952	-4.439	-2.981	-2.465	-4.956	-3.349	-3.199	-3.682	-3.258	-2.885	-4.465	-3.837	-3.366	-5.04	-4.781	-4.148	-6.542
2019-01-01 3:00	6702	11.93	-5.398	55.12	-5.174	63.1	-3.857	-4.438	-3.581	-3.78	-2.934	-5.477	0.03	0.752	0.053	0.792	-3.388	-3.245	-1.951	-4.42	-2.977	-2.464	-4.938	-3.344	-3.194	-3.675	-3.25	-2.882	-4.452	-3.828	-3.362	-5.034	-4.775	-4.141	-6.528
2019-01-01 3:30	6703	11.95	-5.233	58.9	-5.07	67.22	-3.845	-4.429	-3.571	-3.76	-2.922	-5.478	0.03	0.752	0.053	0.792	-3.377	-3.237	-1.951	-4.403	-2.969	-2.46	-4.915	-3.334	-3.188	-3.665	-3.245	-2.881	-4.44	-3.82	-3.356	-5.032	-4.766	-4.131	-6.482
2019-01-01 4:00	6704	11.93	-5.975	62.02	-5.77	69.05	-3.836	-4.422	-3.557	-3.746	-2.915	-5.445	0.03	0.752	0.053	0.792	-3.356	-3.218	-1.943	-4.38	-2.958	-2.454	-4.891	-3.328	-3.179	-3.655	-3.232	-2.85	-4.409	-3.796	-3.339	-5.021	-4.753	-4.122	-6.464
2019-01-01 4:30	6705	11.95	-6.869	64.8	-6.643	72.07	-3.827	-4.412	-3.555	-3.731	-2.908	-5.425	0.03	0.752	0.053	0.792	-3.331	-3.194	-1.932	-4.353	-2.946	-2.446	-4.87	-3.319	-3.174	-3.646	-3.215	-2.811	-4.375	-3.77	-3.319	-5.006	-4.742	-4.115	-6.685
