TIMESTAMP	RECORD	BattV_Avg	AirTControl_Avg	RHCT	Air_GH_Avg	RH_GH
2019-08-20 5:00	0	12.26	-0.358	97.1	-0.061	100
2019-08-20 5:30	1	12.26	-0.43	96.9	-0.062	100
2019-08-20 6:00	2	12.26	-0.386	97.1	-0.026	100
2019-08-20 6:30	3	12.27	-0.312	97.3	0.059	100
2019-08-20 7:00	4	12.28	-0.311	97.2	0.066	100
2019-08-20 7:30	5	12.3	-0.175	96.8	0.142	100
2019-08-20 8:00	6	12.32	-0.128	96.5	0.184	100
2019-08-20 8:30	7	12.36	-0.109	96.1	0.22	100
2019-08-20 9:00	8	12.4	-0.079	95.8	0.268	100
2019-08-20 9:30	9	12.47	-0.01	95.1	0.37	100
2019-08-20 10:00	10	12.51	0.011	95.4	0.387	100
2019-08-20 10:30	11	12.59	0.071	95	0.423	100
2019-08-20 11:00	12	12.64	0.097	95.2	0.442	100
2019-08-20 11:30	13	12.7	0.128	95.3	0.503	100
2019-08-20 12:00	14	12.75	0.196	94.7	0.641	100
2019-08-20 12:30	15	12.81	0.272	95.1	0.754	100
2019-08-20 13:00	16	12.84	0.203	94.7	0.73	100
2019-08-20 13:30	17	12.87	0.195	94.8	0.769	100
2019-08-20 14:00	18	12.88	0.182	94.7	0.769	100
2019-08-20 14:30	19	12.89	0.157	95.3	0.676	100
2019-08-20 15:00	20	12.91	0.242	95.4	0.735	100
2019-08-20 15:30	21	12.88	0.248	95.4	0.637	100
2019-08-20 16:00	22	12.86	0.23	95.7	0.643	100
2019-08-20 16:30	23	12.86	0.326	95.1	0.74	100
2019-08-20 17:00	24	12.83	0.166	96.4	0.527	100
2019-08-20 17:30	25	12.8	-0.019	96.8	0.364	100
2019-08-20 18:00	26	12.77	-0.136	97.5	0.266	100
2019-08-20 18:30	27	12.74	-0.193	97.7	0.227	100
2019-08-20 19:00	28	12.71	-0.231	97.8	0.213	100
2019-08-20 19:30	29	12.65	-0.27	98	0.184	100
2019-08-20 20:00	30	12.58	-0.264	98.2	0.192	100
2019-08-20 20:30	31	12.52	-0.187	98.3	0.211	100
2019-08-20 21:00	32	12.47	-0.071	98.4	0.307	100
2019-08-20 21:30	33	12.42	0.052	100	0.363	100
2019-08-20 22:00	34	12.38	0.148	100	0.557	100
2019-08-20 22:30	35	12.35	0.224	100	0.608	100
2019-08-20 23:00	36	12.33	0.264	100	0.654	100
2019-08-20 23:30	37	12.31	0.193	100	0.575	100
2019-08-21 0:00	38	12.29	-0.059	100	0.317	100
2019-08-21 0:30	39	12.28	-0.203	100	0.195	100
2019-08-21 1:00	40	12.27	-0.321	100	0.063	100
2019-08-21 1:30	41	12.26	-0.305	100	0.085	100
2019-08-21 2:00	42	12.25	-0.258	100	0.122	100
