var,type,newnames
TIMESTAMP,date,timestamp
RECORD,numeric,record
BattV_Avg,numeric,BattV_Avg
AirTControl_Avg,numeric,CT_Air_3M_Avg
RHCT,numeric,CT_RH
Air_GH_Avg,numeric,GH_Air_Avg
RH_GH,numeric,GH_RH
WS_ms_S_WVT,numeric,WS_ms_S_WVT
WindDir_D1_WVT,numeric,WindDir_D1_WVT
WindDir_SD1_WVT,numeric,WindDir_SD1_WVT
T107_C_CT1_Avg,numeric,T107_C_CT1_Avg
T107_C_CT2_Avg,numeric,T107_C_CT2_Avg
T107_C_CT3_Avg,numeric,T107_C_CT3_Avg
T107_C_GH1_Avg,numeric,T107_C_GH1_Avg
T107_C_GH2_Avg,numeric,T107_C_GH2_Avg
T107_C_GH3_Avg,numeric,T107_C_GH3_Avg
VW_CT_Avg,numeric,VW_CT_Avg
PA_uS_CT_Avg,numeric,PA_uS_CT_Avg
VW_GH_Avg,numeric,VW_GH_Avg
PA_uS_GH_Avg,numeric,PA_uS_GH_Avg
CT1_SUR_AVG_Avg,numeric,CT1_SUR_AVG_Avg
CT1_10cm_AVG_Avg,numeric,CT1_10cm_AVG_Avg
CT1_20cm_AVG_Avg,numeric,CT1_20cm_AVG_Avg
CT2_SUR_AVG_Avg,numeric,CT2_SUR_AVG_Avg
CT2_10cm_AVG_Avg,numeric,CT2_10cm_AVG_Avg
CT2_20cm_AVG_Avg,numeric,CT2_20cm_AVG_Avg
CT3_SUR_AVG_Avg,numeric,CT3_SUR_AVG_Avg
CT3_10cm_AVG_Avg,numeric,CT3_10cm_AVG_Avg
CT3_20cm_AVG_Avg,numeric,CT3_20cm_AVG_Avg
NP1_SUR_AVG_Avg,numeric,NP1_SUR_AVG_Avg
NP1_10cm_AVG_Avg,numeric,NP1_10cm_AVG_Avg
NP1_20cm_AVG_Avg,numeric,NP1_20cm_AVG_Avg
NP2_SUR_AVG_Avg,numeric,NP2_SUR_AVG_Avg
NP2_10cm_AVG_Avg,numeric,NP2_10cm_AVG_Avg
NP2_20cm_AVG_Avg,numeric,NP2_20cm_AVG_Avg
NP3_SUR_cm_AVG_Avg,numeric,NP3_SUR_cm_AVG_Avg
NP3_10_AVG_Avg,numeric,NP3_10_AVG_Avg
NP3_20cm_AVG_Avg,numeric,NP3_20cm_AVG_Avg
RTempC_Avg,numeric,RTempC_Avg
