TIMESTAMP	RECORD	T107_C_CT1_Avg	T107_C_CT2_Avg	T107_C_CT3_Avg	T107_C_GH1_Avg	T107_C_GH2_Avg	T107_C_GH3_Avg	VW_CT_Avg	PA_uS_CT_Avg	VW_GH_Avg	PA_uS_GH_Avg	CT1_SUR_AVG_Avg	CT1_10cm_AVG_Avg	CT1_20cm_AVG_Avg	CT2_SUR_AVG_Avg	CT2_10cm_AVG_Avg	CT2_20cm_AVG_Avg	CT3_SUR_AVG_Avg	CT3_10cm_AVG_Avg	CT3_20cm_AVG_Avg	NP1_SUR_AVG_Avg	NP1_10cm_AVG_Avg	NP1_20cm_AVG_Avg	NP2_SUR_AVG_Avg	NP2_10cm_AVG_Avg	NP2_20cm_AVG_Avg	NP3_SUR_cm_AVG_Avg	NP3_10_AVG_Avg	NP3_20cm_AVG_Avg	RTempC_Avg
2019-08-20 6:00	0	0.018	0.02	0.016	0.023	0.018	0.021	0.002	0.013	0.003	0.015	0.015	0.021	0.013	0.019	0.019	0.015	0.011	0.024	0.023	0.008	0.012	0.009	0.012	0.01	0.006	0.011	0.014	0.009	-0.003
2019-08-20 9:00	1	1.251	1.404	1.098	1.632	1.271	1.489	0.139	0.933	0.212	1.038	1.052	1.441	0.915	1.312	1.329	1.062	0.751	1.699	1.613	0.561	0.845	0.63	0.871	0.733	0.397	0.742	0.958	0.63	-0.181
2019-08-20 12:00	2	1.079	1.271	0.869	1.308	1.204	1.222	0.138	0.932	0.212	1.037	0.88	1.268	0.889	1.286	1.217	1.01	0.788	1.423	1.371	0.449	0.673	0.552	0.769	0.638	0.362	0.664	0.837	0.569	0.027
2019-08-20 15:00	3	0.927	1.204	0.659	1.128	1.147	1.022	0.138	0.931	0.212	1.037	0.752	1.158	0.873	1.261	1.132	0.968	1.15	1.252	1.218	0.433	0.588	0.502	0.865	0.588	0.329	0.631	0.743	0.51	0.33
2019-08-20 18:00	4	0.793	1.04	0.526	1.06	1.08	0.841	0.138	0.932	0.213	1.039	0.622	1.071	0.829	1.147	1.036	0.898	1.164	1.131	1.105	0.397	0.536	0.449	0.915	0.536	0.294	0.57	0.648	0.458	0.457
2019-08-20 21:00	5	0.698	0.754	0.488	0.917	1.013	0.735	0.139	0.933	0.216	1.043	0.558	0.99	0.783	0.92	0.964	0.843	0.832	1.033	0.99	0.308	0.489	0.42	0.791	0.498	0.273	0.506	0.558	0.403	0.307
2019-08-21 0:00	6	0.621	0.506	0.478	0.697	0.946	0.564	0.141	0.935	0.219	1.048	0.495	0.909	0.728	0.642	0.892	0.788	0.374	0.943	0.909	0.227	0.417	0.382	0.589	0.434	0.244	0.417	0.486	0.365	0.063
2019-08-21 3:00	7	0.545	0.392	0.45	0.564	0.889	0.431	0.144	0.94	0.223	1.053	0.437	0.8	0.679	0.584	0.817	0.731	0.317	0.826	0.8	0.152	0.342	0.325	0.463	0.368	0.204	0.368	0.42	0.316	0.1
2019-08-21 6:00	8	0.497	0.43	0.459	0.449	0.832	0.44	0.146	0.943	0.224	1.054	0.399	0.744	0.624	0.598	0.762	0.676	0.348	0.744	0.727	0.131	0.287	0.287	0.356	0.321	0.183	0.339	0.373	0.296	-0.051
2019-08-21 9:00	9	0.449	0.431	0.45	0.394	0.774	0.432	0.146	0.944	0.223	1.053	0.382	0.676	0.589	0.558	0.701	0.624	0.359	0.676	0.667	0.115	0.252	0.252	0.308	0.27	0.157	0.313	0.339	0.261	-0.253
